"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@quick13 so sad this keeps happening. I wonder if it is anyway related to  ""sinkhole"" of sorts your Mom told me about some odd 15 + yrs ago?",FALSE,0,"quick13",2015-02-13 00:22:23,FALSE,"564080439308980226","566029583946743808","16103311","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mortoglina",0,FALSE,FALSE,NA,NA
"Sinkhole Anniversary / Blue Devil Unveiling http://t.co/1GDVeLAAcv",FALSE,0,NA,2015-02-13 00:20:43,FALSE,NA,"566029163656904706",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis.com</a>","lvonestopshop",0,FALSE,FALSE,NA,NA
"Sinkhole Anniversary / Blue Devil Unveiling http://t.co/5vYDpiezeK",FALSE,0,NA,2015-02-13 00:19:21,FALSE,NA,"566028819740762112",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis.com</a>","lvonestopshop",0,FALSE,FALSE,NA,NA
"@AmberTraffic You heard if Coe Hill Drive is still closed? I'm presuming it is due to the sinkhole. Cheers",FALSE,0,"AmberTraffic",2015-02-13 00:18:53,FALSE,NA,"566028702283489280","30081480","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","robrymond",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/xVk1cFD9UY",FALSE,0,NA,2015-02-13 00:14:39,FALSE,NA,"566027636938665984",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","mhamilton_",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/aN0bnMErin",FALSE,0,NA,2015-02-13 00:12:57,FALSE,NA,"566027210138873857",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","BubleFeverLive",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/V4RiOFHIC3",FALSE,0,NA,2015-02-13 00:12:04,FALSE,NA,"566026984724381696",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ChristaWojo",0,FALSE,FALSE,NA,NA
"RT @corvettemuseum: We've been given the ok to share our security footage of the sinkhole collapse. http://t.co/byHqU6VX8h #sinkhole365 #tbt",FALSE,0,NA,2015-02-13 00:11:13,FALSE,NA,"566026770965876737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bgdnfeatures",5,TRUE,FALSE,NA,NA
"Dus omdat jullie te bescheten zijn een extra trui aan te trekken, flikkeren wij straks in een sinkhole van een miljoenmiljard kuub. #merci",FALSE,0,NA,2015-02-13 00:10:30,FALSE,NA,"566026592787656704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kwastopzee",0,FALSE,FALSE,NA,NA
"Sinkhole Anniversary / Blue Devil Unveiling: http://t.co/zzLMDOeP6r via @YouTube",FALSE,1,NA,2015-02-13 00:10:01,FALSE,NA,"566026470758547456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fsbofsbo",0,FALSE,FALSE,NA,NA
"@PhilMcFad 4 you: One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/nZk7suvESo",FALSE,0,"PhilMcFad",2015-02-13 00:09:17,FALSE,NA,"566026285399691265","712301426","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","justissaayman",0,FALSE,FALSE,NA,NA
"RT @weathernetwork: Toronto sinkhole snarls traffic: http://t.co/SFR6OHlg8K http://t.co/mJ0WndIQyl",FALSE,0,NA,2015-02-13 00:08:59,FALSE,NA,"566026211823198209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JustBeauregard",10,TRUE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/S65qlc62u9",FALSE,0,NA,2015-02-13 00:08:59,FALSE,NA,"566026208673288192",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","puttnpdx",0,FALSE,FALSE,NA,NA
