"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Digging the view from my room here at #4c15...not bad. ;) http://t.co/XwSmkkiytn",FALSE,3,NA,2015-03-17 19:26:46,FALSE,NA,"577913986848522240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danielleroach",1,FALSE,FALSE,"-82.4539797","27.9410862"
"Finishing up finals and grading (oh quarter system!). But tomorrow, I’m off to Tampa for #4C15!",FALSE,2,NA,2015-03-17 19:23:11,FALSE,NA,"577913086276833281",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DCoad",0,FALSE,FALSE,NA,NA
"RT @TylerBranson: If everything runs on schedule, I'll land in Tampa &amp; book it to the award ceremony in time to watch @JChaseSanchez shake …",FALSE,0,NA,2015-03-17 19:20:41,FALSE,NA,"577912456820871169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JChaseSanchez",1,TRUE,FALSE,NA,NA
".@rmhoward I'll be everywhere #4C15, Rebecca, but not keynoting--Adam Banks does the keynote this year; I do next year, Houston #4C16",FALSE,1,"rmhoward",2015-03-17 19:17:05,FALSE,"577905705912512512","577911550415126529","7972492","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JoyceLocke",0,FALSE,FALSE,NA,NA
"Learned in in-flight magazine that Kairos is bald in the back bc the perfect moment passes quickly. #4c15 already learning",FALSE,2,NA,2015-03-17 19:15:25,FALSE,NA,"577911132389814272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jrgmckinney",0,FALSE,FALSE,NA,NA
"Anyone up for a late lunch? #4c15",FALSE,0,NA,2015-03-17 19:14:06,FALSE,NA,"577910800662171648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brockoleur",0,FALSE,FALSE,NA,NA
"Jerk Hut on Twiggs &amp; Franklin St. You should eat there. #4C15",FALSE,1,NA,2015-03-17 19:13:56,FALSE,NA,"577910758861848576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","skinnysb",1,FALSE,FALSE,NA,NA
"RT @NCTE_CCCC: 2 #4c15 venues @TampaConvCenter &amp; Marriott Waterside via @Tampa4c http://t.co/kPQLNRaCVm",FALSE,0,NA,2015-03-17 19:10:17,FALSE,NA,"577909837864026112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dr_DL",5,TRUE,FALSE,NA,NA
"RT @NCTE_CCCC: RT @MariaLynn_JCU #4c15 please consider attending H.44, all about re-envisioning Writing Center spaces. http://t.co/plUdLHuZ…",FALSE,0,NA,2015-03-17 19:09:20,FALSE,NA,"577909600999071744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dr_DL",2,TRUE,FALSE,NA,NA
"I wouldn't mind if this weather followed me home... #4C15 http://t.co/zYADR9m0yV",FALSE,3,NA,2015-03-17 19:08:55,FALSE,NA,"577909497559195648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kelliemgray",0,FALSE,FALSE,NA,NA
